id;client_id;type;api_key;status;note;created_date;last_modified_date
1;1f5387df-a5ff-4a16-a4ce-15ef449e60bb;AGENT;85f14191-e42f-4b95-a95f-04d2d1517337;PENDING;conseiller quoique volontiers;2024-10-15T19:32:14;2024-10-16T00:14:29
2;db512291-790a-4110-841b-8696ebf83d7a;MERCHANT;0b3fa623-67f6-4fe4-a91c-76c0abd3c739;PENDING;juriste;2024-10-15T17:16:50;2024-10-16T04:17:36
3;9670ad2b-a314-4307-b63f-adee325bf1cf;AGENT;30856036-c556-411e-8ee3-88ec1705e67b;DELETED;a au cas où;2024-10-15T20:43:54;2024-10-16T08:29:21
4;9c50bdbd-91a8-4118-a705-097c5e47ac9e;CUSTOMER;c0a4827e-1baf-4688-8401-894d62fced6b;PENDING;psitt;2024-10-16T01:49:00;2024-10-16T13:41:11
5;6d105a2d-f50e-434b-8721-006889dd8d3d;AGENT;d9b93e8a-da43-4d5e-aceb-c0389693acef;PENDING;insérer;2024-10-16T09:34:45;2024-10-15T15:23:01
6;4997fec8-6d20-493c-8644-c6d5b883094d;AGENT;dd9b67fa-1305-4822-9390-7caf11a75ed7;ACTIVE;inventer;2024-10-16T06:15:46;2024-10-16T03:03:10
7;d682f3d9-a410-4ab7-8139-4d84275ef49a;AGENT;2dc77b82-89d4-4359-a45e-86b479493014;PENDING;juriste;2024-10-16T01:03:50;2024-10-16T12:37:29
8;4518b24e-f5d2-4fe8-91fe-ad5f3bd5aee7;MERCHANT;519c30f8-1693-4f73-b9c8-3767dcc6c4f8;ACTIVE;dense;2024-10-16T10:58:50;2024-10-15T16:31:17
9;43913ea6-8bdd-4635-881e-e7a70c992ae3;AGENT;141d271d-377e-4f1e-9f47-3ed08a465460;PENDING;combiner à défaut de ;2024-10-15T19:49:18;2024-10-15T16:42:37
10;52d4e1aa-743f-4721-aff0-9e2a00d8d42b;CUSTOMER;af1bd6b5-eef7-4fe0-b942-fa62fc7c88aa;BLOCKED;lever;2024-10-15T21:55:46;2024-10-15T16:49:14
